IDREFPELANGGAN,ID_UNIT_USAHA,FSTREAMID,FDAYOFWEEK,FHOUR,AVG_FDVC
0110010102,011,1,3,2,738.27
014612996,014,1,2,21,248.0
01203030104,012,1,2,10,55.12
02100323,021,1,3,21,257.28
0120303033,012,1,3,16,130.81
019671738,019,1,2,19,145.07
0130252697,013,1,2,3,363.51
02100037,021,1,2,14,151.56
023515035,023,1,3,12,196.11
02300294,023,1,3,16,57.16
016586132,016,1,3,13,110.78
02200234,022,1,3,17,14.33
0130011318,013,1,2,9,648.0
02100127,021,1,2,19,7199.01
0120303031,012,1,3,18,263.07
02200312,022,1,2,3,298.04
02300341,023,1,3,10,382.61
02300321,023,1,3,18,111.27
0110025827,011,1,2,13,79.57
02200072,022,1,2,13,106.26
02300314,023,1,2,8,148.72
014520305,014,1,2,23,25.64
014522252,014,1,2,18,95.25
0150020609,015,1,3,4,295.0
0130252703,013,1,3,12,93.78
0130011196,013,1,3,0,46.0
0120014659,012,1,3,4,1311.26
0150010748,015,1,3,6,26.42
0120303049,012,1,2,22,650.34
021671741,021,1,2,15,1476.09
02100291,021,1,3,2,13.87
024520452,024,1,3,19,232.61
03300002,033,1,2,6,7311.129
015514274,015,1,3,22,242.0
0150001987,015,1,2,12,114.0
013609652,013,1,3,11,168.51
014520305,014,1,2,0,17.22
015516978,015,1,3,17,38.7
0130011475,013,1,3,21,487.66
014517204,014,1,2,22,221.05
02200366,022,1,2,17,166.4
0110025816,011,1,2,13,57.0
02200353,022,1,3,9,76.02
0130252355,013,1,2,21,314.0
0130252671,013,1,3,2,77.0
012552880,012,1,2,8,65.91
02100151,021,1,3,1,95.81
01203030109,012,1,2,6,28.13
0110011835,011,1,3,16,8.38
012516813,012,1,3,10,37.11
023713823,023,1,3,14,67.0
02100328,021,1,2,20,242.0
014612996,014,1,3,8,359.0
012515225,012,1,2,0,47.63
01613153,016,1,3,14,0.96
018521050,018,1,2,18,2.05
0130253230,013,1,3,4,110.0
02300288,023,1,2,16,1003.41
02100371,021,1,3,17,323.0
011562844,011,1,2,20,6.0
013666436,013,1,3,0,66.82
013517576,013,1,3,7,13.54
02100021,021,1,3,6,61.23
01203030115,012,1,2,15,13.4
0140019626,014,1,2,13,1949.14
021667117,021,1,3,6,1984.67
0123031400,012,1,2,6,44.72
02200125,022,1,2,9,886.96
03300023,033,1,3,8,128.89
0150019832,015,1,3,11,50.92
031667109,031,1,2,1,994.61
012667932,012,1,3,7,132.15
015579291,015,1,3,5,15.71
022565302,022,1,3,5,36.06
0140014529,014,1,2,17,9290.66
021513671,021,1,2,18,17.0
012525401,012,1,2,8,73.94
0110026200,011,1,2,20,2348.47
0150019493,015,1,2,21,77.0
0150000019,015,1,3,8,65.18
0130025193,013,1,2,22,336.0
0140019635,014,1,2,21,274.0
0140019660,014,1,2,6,1056.98
011560447,011,1,2,5,4.47
0110003604,011,1,2,1,4946.19
018559318,018,1,2,19,5920.05736
011570665,011,1,2,14,884.38
011700651,011,1,2,21,793.45
0110015138,011,1,2,23,4.0
0110011195,011,1,3,3,2.0
02200330,022,1,2,19,102.36
